Tipo esercizio pa;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Prevalente;Superficie altri usi;Superficie lavorativa
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA AUSONIO N. 26 ; (z.d. 1)";VIA;AUSONIO;26;5093;1;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA AUSONIO N. 4 ; (z.d. 1)";VIA;AUSONIO;4;5093;1;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";VIA BEATO ANGELICO N. 29 (z.d. 3);VIA;BEATO ANGELICO;29;3204;3;;;58
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BELLOTTI FELICE N. 4 ; (z.d. 3)";VIA;BELLOTTI FELICE;4;3070;3;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BENACO N. 32 int.cortile; (z.d. 5)";VIA;BENACO;32;4143;5;;;109
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BERTINI GIOVANNI BATTISTA N. 18 ; (z.d. 8)";VIA;BERTINI GIOVANNI BATTISTA;18;7207;8;;;101
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BIUMI PAOLO GEROLAMO N. 16 ; (z.d. 2)";VIA;BIUMI PAOLO GEROLAMO;16;2465;2;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BOERI GIOVANNI BATTISTA N. 11 trasloco fuori raggio; (z.d. 5)";VIA;BOERI GIOVANNI BATTISTA;11;5083;5;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BONI GIACOMO N. 10 ; (z.d. 7)";VIA;BONI GIACOMO;10;6098;7;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BONI GIACOMO N. 45 ; (z.d. 7)";VIA;BONI GIACOMO;45;6098;7;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BORGONUOVO N. 9 piano seminterrato; (z.d. 1)";VIA;BORGONUOVO;9;139;1;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BOVISASCA num.173; (z.d. 9)";VIA;BONNET NINO;;1109;9;;;58
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BRUNELLESCHI FILIPPO N. 1 ; (z.d. 6)";VIA;BRUNELLESCHI FILIPPO;1;5384;6;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA BUONARROTI MICHELANGELO N. 4 ; (z.d. 7)";VIA;BUONARROTI MICHELANGELO;4;6253;7;;;74
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CABELLA BARTOLOMEO N. 56 ; (z.d. 7)";VIA;CABELLA BARTOLOMEO;56;6778;7;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CADORE N. 6 ; (z.d. 4)";VIA;CADORE;6;3077;4;;;114
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CAGLIERO GIOVANNI N. 14 interrato; (z.d. 2)";VIA;CAGLIERO GIOVANNI;14;1407;2;;;20
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";VIA CAMINADELLA N. 17 (z.d. 1);VIA;CAMINADELLA;17;551;1;;;65
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CAMPERIO MANFREDO N. 16 int. profumeria; (z.d. 1)";VIA;CAMPERIO MANFREDO;16;610;1;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CAPECELATRO ALFONSO N. 20 ; (z.d. 7)";VIA;CAPECELATRO ALFONSO;20;6575;7;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CAPPONI PIER LUIGI N. 5 ; (z.d. 7)";VIA;CAPPONI PIER LUIGI;5;6249;7;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CARABELLI RODOLFO N. 15 ; (z.d. 4)";VIA;CARABELLI RODOLFO;15;4096;4;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CARDUCCI GIOSUE' N. 9 ; (z.d. 1)";VIA;CARDUCCI GIOSUE';9;602;1;;;40
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CARROCCIO N. 6 ; (z.d. 1)";VIA;CARROCCIO;6;5094;1;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CASATI FELICE N. 2 ; (z.d. 3)";VIA;CASATI FELICE;2;2122;3;;;50
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CASATI FELICE N. 35 ; (z.d. 2)";VIA;CASATI FELICE;35;2122;2;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CASCINA BELLARIA N. 19 ; (z.d. 7)";VIA;CASCINA BELLARIA;19;6744;7;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CASCINA BIANCA N. 16 ; (z.d. 6)";VIA;CASCINA BIANCA;16;5454;6;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CASORETTO N. 8 ; (z.d. 3)";VIA;CASORETTO;8;2420;3;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CASSINIS GIOVANNI BATTISTA N. 23 ; (z.d. 4)";VIA;CASSINIS GIOVANNI BATTISTA;23;4309;4;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";VIA CASTELVETRO LODOVICO N. 13 (z.d. 8);VIA;CASTELVETRO LODOVICO;13;7195;8;;;46
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CAVEZZALI FRANCESCO N. 11 con ingr. via marinetti n. 1; (z.d. 2)";VIA;CAVEZZALI FRANCESCO;11;2335;2;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CENISIO N. 10 riservata ai soli soci; (z.d. 8)";VIA;CENISIO;10;7184;8;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";VIA CENISIO N. 10 (z.d. 8);VIA;CENISIO;10;7184;8;;;56
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CENISIO N. 87 ; (z.d. 8)";VIA;CENISIO;87;7184;8;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CESARE DA SESTO N. 23 ; (z.d. 1)";VIA;CESARE DA SESTO;23;5101;1;;;54
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CIRCO N. 1 interno palestra; (z.d. 1)";VIA;CIRCO;1;557;1;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA COLA DI RIENZO N. 53 ; (z.d. 6)";VIA;COLA DI RIENZO;53;6094;6;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA COLONNA MARCO ANTONIO N. 10 ; (z.d. 8)";VIA;COLONNA MARCO ANTONIO;10;7158;8;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CREMA N. 25 ; (z.d. 5)";VIA;CREMA;25;4061;5;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CROCEFISSO N. 6 piano seminterrato; (z.d. 1)";VIA;CROCEFISSO;6;587;1;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA CUCCHIARI DOMENICO N. 4 ; (z.d. 8)";VIA;CUCCHIARI DOMENICO;4;7224;8;;;67
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA D'ADDA CARLO N. 2 ; (z.d. 6)";VIA;D'ADDA CARLO;2;5272;6;;;
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";VIA DAL RE MARCANTONIO N. 6 (z.d. 8);VIA;DAL RE MARCANTONIO;6;7381;8;CENTRO ESTETICO - SOLARIUN;;46
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA DE CRISTOFORIS CARLO N. 5 ; (z.d. 9)";VIA;DE CRISTOFORIS CARLO;5;1120;9;;;40
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA DEI BENEDETTINI N. 14 ; (z.d. 6)";VIA;DEI BENEDETTINI;14;6813;6;;;25
"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";"VIA DEI FIORDALISI N. 4 ; (z.d. 6)";VIA;DEI FIORDALISI;4;6710;6;;;
